pn_id,vol_raw_usd,vol_norm,lot_count,breadth_norm,line_count,avg_line_usd,ticket_norm,cat_liq_norm,pn_liquidity,flags
811534070FRE,55.430000,0.000000,1,0.100000,1,55.430000,0.022387,0.300000,0.093358,CAT_UNKNOWN_HEAVY
2CDS251001R0504,55.400000,0.000000,1,0.100000,1,55.400000,0.022270,0.300000,0.093340,CAT_UNKNOWN_HEAVY
AG203D,54.960000,0.000000,1,0.100000,1,54.960000,0.020538,0.300000,0.093081,CAT_UNKNOWN_HEAVY
P3Q00022,54.200000,0.000000,1,0.100000,1,54.200000,0.017515,0.300000,0.092627,CAT_UNKNOWN_HEAVY
644053001FRE,53.830000,0.000000,1,0.100000,1,53.830000,0.016027,0.300000,0.092404,CAT_UNKNOWN_HEAVY
RGT099VT7,53.430000,0.000000,1,0.100000,1,53.430000,0.014408,0.300000,0.092161,CAT_UNKNOWN_HEAVY
G120752076,52.860000,0.000000,1,0.100000,1,52.860000,0.012079,0.300000,0.091812,CAT_UNKNOWN_HEAVY
R211B510X3,52.710000,0.000000,1,0.100000,1,52.710000,0.011462,0.300000,0.091719,CAT_UNKNOWN_HEAVY
G120752025,52.550000,0.000000,1,0.100000,1,52.550000,0.010801,0.300000,0.091620,CAT_UNKNOWN_HEAVY
50101297008FRE,52.410000,0.000000,1,0.100000,1,52.410000,0.010222,0.300000,0.091533,CAT_UNKNOWN_HEAVY
50164602001FRE,52.140000,0.000000,1,0.100000,1,52.140000,0.009101,0.300000,0.091365,CAT_UNKNOWN_HEAVY
715590001FRE,52.140000,0.000000,1,0.100000,1,52.140000,0.009101,0.300000,0.091365,CAT_UNKNOWN_HEAVY
811534040FRE,51.730000,0.000000,1,0.100000,1,51.730000,0.007386,0.300000,0.091108,CAT_UNKNOWN_HEAVY
4845571801FRE,66.000000,0.000000,1,0.100000,1,66.000000,0.060287,0.260000,0.091043,
50134287001FRE,51.070000,0.000000,1,0.100000,1,51.070000,0.004598,0.300000,0.090690,CAT_UNKNOWN_HEAVY
100006483FRE,65.090000,0.000000,1,0.100000,1,65.090000,0.057272,0.260000,0.090591,
HWL06,101.600000,0.000000,1,0.100000,2,50.800000,0.003447,0.300000,0.090517,CAT_UNKNOWN_HEAVY
5130071301FRE,50.280000,0.000000,1,0.100000,1,50.280000,0.001213,0.300000,0.090182,CAT_UNKNOWN_HEAVY
4X5NC,50.210000,0.000000,1,0.100000,1,50.210000,0.000910,0.300000,0.090137,CAT_UNKNOWN_HEAVY
