part_number,raw_photo_path,raw_width,raw_height,min_dimension,bucket,enhanced_photo_path,enhanced_generated,photo_ready_for_future_cloud,next_action
N3424,D:\BIRETOS\projects\biretos-automation\downloads\photos\N3424.jpg,129,215,129,tiny_quarantine,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\N3424__catalog_placeholder_v1__4193bf04.jpg,True,False,re_search_required
NE-NICS02,D:\BIRETOS\projects\biretos-automation\downloads\photos\NE-NICS02.jpg,400,400,400,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\NE-NICS02__catalog_placeholder_v1__30670990.jpg,True,True,keep_enhanced
NMF-RP16SCUS2-RU,D:\BIRETOS\projects\biretos-automation\downloads\photos\NMF-RP16SCUS2-RU.jpg,2400,1260,1260,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\NMF-RP16SCUS2-RU__catalog_placeholder_v1__781860ba.jpg,True,True,keep_enhanced
OPTIPLEX,D:\BIRETOS\projects\biretos-automation\downloads\photos\OPTIPLEX.jpg,200,200,200,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\OPTIPLEX__catalog_placeholder_v1__7ba56073.jpg,True,False,upscale_then_review
P2210F,D:\BIRETOS\projects\biretos-automation\downloads\photos\P2210F.jpg,1280,720,720,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\P2210F__catalog_placeholder_v1__72b5dceb.jpg,True,True,keep_enhanced
P2212HB,D:\BIRETOS\projects\biretos-automation\downloads\photos\P2212HB.jpg,320,298,298,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\P2212HB__catalog_placeholder_v1__ece4bbe8.jpg,True,False,upscale_then_review
P2213F,D:\BIRETOS\projects\biretos-automation\downloads\photos\P2213F.jpg,768,1024,768,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\P2213F__catalog_placeholder_v1__727de5a2.jpg,True,True,keep_enhanced
P2213T,D:\BIRETOS\projects\biretos-automation\downloads\photos\P2213T.jpg,500,363,363,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\P2213T__catalog_placeholder_v1__08e08ade.jpg,True,False,upscale_then_review
P2217H,D:\BIRETOS\projects\biretos-automation\downloads\photos\P2217H.jpg,1500,1000,1000,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\P2217H__catalog_placeholder_v1__9b46742c.jpg,True,True,keep_enhanced
P2421D,D:\BIRETOS\projects\biretos-automation\downloads\photos\P2421D.jpg,500,500,500,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\P2421D__catalog_placeholder_v1__eafab918.jpg,True,True,keep_enhanced
P2422H,D:\BIRETOS\projects\biretos-automation\downloads\photos\P2422H.jpg,540,540,540,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\P2422H__catalog_placeholder_v1__21e99e89.jpg,True,True,keep_enhanced
P400-RU,D:\BIRETOS\projects\biretos-automation\downloads\photos\P400-RU.jpg,1069,580,580,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\P400-RU__catalog_placeholder_v1__4fdc7857.jpg,True,True,keep_enhanced
P600,D:\BIRETOS\projects\biretos-automation\downloads\photos\P600.jpg,955,500,500,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\P600__catalog_placeholder_v1__7b4ec0d7.jpg,True,True,keep_enhanced
PANC300-03,D:\BIRETOS\projects\biretos-automation\downloads\photos\PANC300-03.jpg,800,800,800,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PANC300-03__catalog_placeholder_v1__f15a379e.jpg,True,True,keep_enhanced
PANC300-04,D:\BIRETOS\projects\biretos-automation\downloads\photos\PANC300-04.jpg,1280,720,720,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PANC300-04__catalog_placeholder_v1__16d3de6f.jpg,True,True,keep_enhanced
PAVILION,D:\BIRETOS\projects\biretos-automation\downloads\photos\PAVILION.jpg,1200,630,630,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PAVILION__catalog_placeholder_v1__9413a5c5.jpg,True,True,keep_enhanced
PCD2.A200,D:\BIRETOS\projects\biretos-automation\downloads\photos\PCD2.A200.jpg,499,307,307,needs_upscale,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PCD2.A200__catalog_placeholder_v1__0f861b73.jpg,True,False,upscale_then_review
PCD3.M3360,D:\BIRETOS\projects\biretos-automation\downloads\photos\PCD3.M3360.jpg,700,700,700,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PCD3.M3360__catalog_placeholder_v1__b51bc6c0.jpg,True,True,keep_enhanced
PCD3.W340,D:\BIRETOS\projects\biretos-automation\downloads\photos\PCD3.W340.jpg,700,700,700,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PCD3.W340__catalog_placeholder_v1__06c3ad40.jpg,True,True,keep_enhanced
PCD7.L500,D:\BIRETOS\projects\biretos-automation\downloads\photos\PCD7.L500.jpg,625,628,625,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PCD7.L500__catalog_placeholder_v1__fe02f741.jpg,True,True,keep_enhanced
PERTHECTION,D:\BIRETOS\projects\biretos-automation\downloads\photos\PERTHECTION.jpg,1280,720,720,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PERTHECTION__catalog_placeholder_v1__96beb789.jpg,True,True,keep_enhanced
PHASER,D:\BIRETOS\projects\biretos-automation\downloads\photos\PHASER.jpg,1024,1024,1024,good_quality,D:\BIRETOS\projects\biretos-automation\downloads\photos_enhanced\PHASER__catalog_placeholder_v1__9456c147.jpg,True,True,keep_enhanced
