pn_id,vol_raw_usd,vol_norm,lot_count,breadth_norm,line_count,avg_line_usd,ticket_norm,cat_liq_norm,pn_liquidity,flags
S05010,648.448718,0.040641,1,0.100000,1,648.448718,0.556453,0.700000,0.267692,
C11665,1621.435897,0.183910,1,0.100000,1,1621.435897,0.755465,0.300000,0.267688,CAT_UNKNOWN_HEAVY
CPORL3,813.525641,0.076094,1,0.100000,1,813.525641,0.605701,0.600000,0.267488,
DDCM014,2506.628205,0.252009,1,0.100000,2,1253.314103,0.699545,0.220000,0.267135,
FFP125,1756.346154,0.196404,1,0.100000,1,1756.346154,0.772820,0.260000,0.266664,
M5ARPO1FFS02B63,623.987179,0.034629,1,0.100000,1,623.987179,0.548103,0.710000,0.266336,
EDA50K1C121NGRK,1594.935897,0.181334,1,0.100000,1,1594.935897,0.751887,0.300000,0.266250,CAT_UNKNOWN_HEAVY
R4348B1057,1911.269231,0.209618,1,0.100000,1,1911.269231,0.791176,0.220000,0.266043,
DPR78285302,1590.884615,0.180936,1,0.100000,1,1590.884615,0.751334,0.300000,0.266028,CAT_UNKNOWN_HEAVY
M9484F1007U,1589.666667,0.180817,1,0.100000,1,1589.666667,0.751168,0.300000,0.265961,CAT_UNKNOWN_HEAVY
TC808EIS1028,620.769231,0.033821,1,0.100000,1,620.769231,0.546980,0.710000,0.265884,
DRC4R,619.551282,0.033514,1,0.100000,1,619.551282,0.546554,0.710000,0.265713,
I20085,1579.269231,0.179791,1,0.100000,1,1579.269231,0.749743,0.300000,0.265388,CAT_UNKNOWN_HEAVY
AP010BT07N,1576.435897,0.179510,1,0.100000,1,1576.435897,0.749353,0.300000,0.265232,CAT_UNKNOWN_HEAVY
CL5708MR,1892.807692,0.208101,1,0.100000,1,1892.807692,0.789068,0.220000,0.265196,
M7294Q1015U,1575.038462,0.179372,1,0.100000,1,1575.038462,0.749161,0.300000,0.265154,CAT_UNKNOWN_HEAVY
VF001B54,689.833333,0.050312,1,0.100000,1,689.833333,0.569887,0.660000,0.265092,
65UL3J,1565.384615,0.178410,1,0.100000,1,1565.384615,0.747826,0.300000,0.264617,CAT_UNKNOWN_HEAVY
22051TEI63IV,1559.474359,0.177819,1,0.100000,1,1559.474359,0.747004,0.300000,0.264287,CAT_UNKNOWN_HEAVY
C7027A1049U,1557.935897,0.177665,1,0.100000,1,1557.935897,0.746790,0.300000,0.264201,CAT_UNKNOWN_HEAVY
NX3MPS,1549.705128,0.176837,1,0.100000,1,1549.705128,0.745640,0.300000,0.263739,CAT_UNKNOWN_HEAVY
STD810,1547.102564,0.176574,1,0.100000,1,1547.102564,0.745275,0.300000,0.263592,CAT_UNKNOWN_HEAVY
150739CPT,1545.448718,0.176407,1,0.100000,1,1545.448718,0.745042,0.300000,0.263499,CAT_UNKNOWN_HEAVY
50148460001FRE,1542.141026,0.176072,1,0.100000,1,1542.141026,0.744577,0.300000,0.263312,CAT_UNKNOWN_HEAVY
TPTHNCL5100,1540.038462,0.175859,1,0.100000,1,1540.038462,0.744281,0.300000,0.263193,CAT_UNKNOWN_HEAVY
SF20B54,719.923077,0.056986,2,0.200000,3,239.974359,0.340597,0.660000,0.263035,
PDP1,1535.641026,0.175412,1,0.100000,1,1535.641026,0.743660,0.300000,0.262943,CAT_UNKNOWN_HEAVY
PDP2,1535.641026,0.175412,1,0.100000,1,1535.641026,0.743660,0.300000,0.262943,CAT_UNKNOWN_HEAVY
PDP3,1535.641026,0.175412,1,0.100000,1,1535.641026,0.743660,0.300000,0.262943,CAT_UNKNOWN_HEAVY
CWSTWWS6,1529.435897,0.174779,1,0.100000,1,1529.435897,0.742781,0.300000,0.262590,CAT_UNKNOWN_HEAVY
EKC315A,768.256410,0.067144,1,0.100000,1,768.256410,0.593268,0.600000,0.262491,
19C015PG3K,1522.961538,0.174115,1,0.100000,1,1522.961538,0.741859,0.300000,0.262219,CAT_UNKNOWN_HEAVY
N6603ERW5102,1520.871795,0.173901,1,0.100000,1,1520.871795,0.741561,0.300000,0.262099,CAT_UNKNOWN_HEAVY
SSFL8TM10TM1010,1516.179487,0.173418,1,0.100000,1,1516.179487,0.740890,0.300000,0.261830,CAT_UNKNOWN_HEAVY
G120752071,1515.666667,0.173365,1,0.100000,1,1515.666667,0.740817,0.300000,0.261800,CAT_UNKNOWN_HEAVY
QP100,1509.371795,0.172714,1,0.100000,1,1509.371795,0.739913,0.300000,0.261437,CAT_UNKNOWN_HEAVY
LTPCTAA20MBSISX01,660.042735,0.043411,1,0.100000,1,660.042735,0.560301,0.660000,0.261239,
CT40UCPB,1505.807692,0.172345,1,0.100000,1,1505.807692,0.739400,0.300000,0.261231,CAT_UNKNOWN_HEAVY
2MLFDC8A,1496.782051,0.171405,1,0.100000,1,1496.782051,0.738094,0.300000,0.260706,CAT_UNKNOWN_HEAVY
SRWMP75C,531.384615,0.009517,1,0.100000,1,531.384615,0.513219,0.750000,0.260314,
RT10BATEXT1,1486.525641,0.170330,1,0.100000,1,1486.525641,0.736601,0.300000,0.260106,CAT_UNKNOWN_HEAVY
2PTS,2239.239825,0.234376,1,0.100000,3,746.413275,0.587005,0.300000,0.260082,CAT_UNKNOWN_HEAVY
5720DP,1481.076923,0.169756,1,0.100000,1,1481.076923,0.735804,0.300000,0.259785,CAT_UNKNOWN_HEAVY
QUJNT4PS1AC24DC20,1578.430020,0.179708,2,0.200000,3,526.143340,0.511067,0.300000,0.259558,CAT_UNKNOWN_HEAVY
PTSRB0041V3,646.974359,0.040285,1,0.100000,1,646.974359,0.555959,0.660000,0.259493,
V19T16EZ100,1762.794872,0.196977,1,0.100000,1,1762.794872,0.773616,0.220000,0.258984,
PLUG8P8CUC5,1466.192308,0.168177,1,0.100000,1,1466.192308,0.733610,0.300000,0.258903,CAT_UNKNOWN_HEAVY
ML6421B3004,585.910256,0.024787,1,0.100000,1,585.910256,0.534431,0.700000,0.258840,
IMC101G,1458.641026,0.167370,1,0.100000,1,1458.641026,0.732489,0.300000,0.258453,CAT_UNKNOWN_HEAVY
JTMCR3032,1338.884615,0.153978,2,0.200000,2,669.442308,0.563372,0.300000,0.258398,CAT_UNKNOWN_HEAVY
WSC2960R24TCL,1745.487179,0.195435,1,0.100000,1,1745.487179,0.771473,0.220000,0.258123,
CK75AB6EC00W4401,1451.961538,0.166652,1,0.100000,1,1451.961538,0.731493,0.300000,0.258052,CAT_UNKNOWN_HEAVY
50133992001FRE,1443.641026,0.165754,1,0.100000,1,1443.641026,0.730245,0.300000,0.257551,CAT_UNKNOWN_HEAVY
VSP1001,1442.641026,0.165646,1,0.100000,1,1442.641026,0.730094,0.300000,0.257490,CAT_UNKNOWN_HEAVY
TPPLSMAAO4,1439.923077,0.165351,1,0.100000,1,1439.923077,0.729685,0.300000,0.257325,CAT_UNKNOWN_HEAVY
50134840001FRE,1427.102564,0.163953,1,0.100000,1,1427.102564,0.727743,0.300000,0.256545,CAT_UNKNOWN_HEAVY
50148463001FRE,1427.102564,0.163953,1,0.100000,1,1427.102564,0.727743,0.300000,0.256545,CAT_UNKNOWN_HEAVY
50129058004FRE,572.923077,0.021283,2,0.200000,2,286.461538,0.379048,0.660000,0.256306,
PD4500C0010000200,1421.794872,0.163370,1,0.100000,1,1421.794872,0.726933,0.300000,0.256220,CAT_UNKNOWN_HEAVY
VF205B65NW,622.871795,0.034350,1,0.100000,1,622.871795,0.547714,0.660000,0.256180,
SR3B261BD,621.871795,0.034099,1,0.100000,1,621.871795,0.547365,0.660000,0.256039,
EPCOAWN7,1415.807692,0.162710,1,0.100000,1,1415.807692,0.726017,0.300000,0.255851,CAT_UNKNOWN_HEAVY
1994058005FRE,1694.641026,0.190813,1,0.100000,1,1694.641026,0.765054,0.220000,0.255543,
ROL15305801,1409.038462,0.161961,1,0.100000,1,1409.038462,0.724976,0.300000,0.255433,CAT_UNKNOWN_HEAVY
655206001FRE,1290.961538,0.148280,2,0.200000,2,645.480769,0.555457,0.300000,0.255216,CAT_UNKNOWN_HEAVY
50139532001FRE,1401.064103,0.161074,1,0.100000,1,1401.064103,0.723744,0.300000,0.254938,CAT_UNKNOWN_HEAVY
ML7420A6017,454.358974,0.000000,4,0.400000,4,113.589744,0.178185,0.540000,0.254728,
CLMERS4N,701.961538,0.053036,1,0.100000,1,701.961538,0.573672,0.600000,0.254614,
